Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
GWO,teamSizeModel,0.030967235565185547,241.71,205.794,198.392,198.392,198.392,190.504,174.13,174.13,174.13,174.13
GWO,teamSizeModel,0.0350186824798584,257.71,220.794,190.392,190.392,187.392,174.392,174.392,174.392,172.13,171.13
GWO,teamSizeModel,0.03355693817138672,226.392,193.504,182.392,182.392,182.392,174.504,174.504,174.13,174.13,174.13
GWO,teamSizeModel,0.029994487762451172,191.392,191.392,191.392,180.392,171.392,171.392,171.392,171.392,165.13,165.13
GWO,teamSizeModel,0.03202033042907715,232.71,205.794,185.504,181.13,180.504,170.13,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.02848649024963379,228.794,214.392,191.392,191.392,179.504,178.504,175.392,171.392,170.13,170.13
GWO,teamSizeModel,0.03402566909790039,228.71,215.794,187.392,187.392,172.13,165.13,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.027999401092529297,234.71,223.71,195.794,181.392,178.504,167.504,167.504,164.504,164.504,164.504
GWO,teamSizeModel,0.028040647506713867,192.504,192.504,192.504,192.504,184.504,184.504,172.13,171.26999999999998,171.26999999999998,171.26999999999998
GWO,teamSizeModel,0.027535438537597656,214.794,186.504,185.26999999999998,172.13,172.13,172.13,172.13,172.13,172.13,172.13
GWO,teamSizeModel,0.028008222579956055,229.71,210.71,210.71,186.504,186.504,183.392,176.392,173.13,173.13,172.13
GWO,teamSizeModel,0.027995586395263672,247.71,195.392,192.392,187.392,187.392,179.13,173.504,166.13,166.13,166.13
GWO,teamSizeModel,0.027542829513549805,217.71,217.71,205.794,183.392,180.504,172.504,168.13,168.13,163.504,163.504
GWO,teamSizeModel,0.0279848575592041,222.794,196.794,187.504,187.504,182.392,182.392,182.392,181.13,175.26999999999998,174.26999999999998
GWO,teamSizeModel,0.02799844741821289,214.392,214.392,176.504,176.504,176.504,176.504,167.504,167.504,167.504,167.504
GWO,teamSizeModel,0.02757406234741211,238.71,205.794,194.392,186.392,179.794,176.794,176.794,176.794,174.392,167.392
GWO,teamSizeModel,0.02799677848815918,247.14,236.71,180.504,180.504,180.504,176.392,176.392,175.13,174.26999999999998,174.26999999999998
GWO,teamSizeModel,0.02800130844116211,195.504,192.392,186.504,184.13,174.13,168.13,168.13,168.13,168.13,168.13
GWO,teamSizeModel,0.027033329010009766,251.71,246.794,207.392,186.392,185.504,182.13,176.392,169.13,169.13,169.13
GWO,teamSizeModel,0.027795791625976562,239.71,210.71,193.392,193.392,182.504,182.504,182.504,171.504,171.504,171.504
GWO,teamSizeModel,0.027995586395263672,227.794,181.504,181.504,181.504,180.26999999999998,180.26999999999998,165.13,165.13,165.13,165.13
GWO,teamSizeModel,0.02701282501220703,205.504,202.504,188.392,177.13,177.13,175.504,173.13,173.13,173.13,173.13
GWO,teamSizeModel,0.026578187942504883,216.71,216.71,210.392,195.794,195.794,183.504,173.13,173.13,173.13,173.13
GWO,teamSizeModel,0.027996301651000977,206.392,206.392,179.504,179.504,179.504,179.504,179.504,179.504,177.13,177.13
GWO,teamSizeModel,0.027997970581054688,228.71,212.392,186.392,186.392,186.392,181.26999999999998,180.26999999999998,179.26999999999998,179.26999999999998,178.924
GWO,teamSizeModel,0.028316020965576172,208.71,197.504,185.504,185.504,177.13,177.13,169.13,169.13,169.13,169.13
GWO,teamSizeModel,0.027570009231567383,218.71,218.71,199.392,199.392,180.392,180.392,180.392,179.504,175.13,174.13
GWO,teamSizeModel,0.028998136520385742,219.71,204.794,168.13,168.13,168.13,168.13,167.13,167.13,167.13,167.13
GWO,teamSizeModel,0.027997970581054688,248.794,185.504,184.13,184.13,178.504,178.504,176.13,176.13,176.13,176.13
GWO,teamSizeModel,0.028139591217041016,258.71,248.71,197.392,189.504,175.504,175.504,174.26999999999998,174.26999999999998,172.26999999999998,172.26999999999998
FA,teamSizeModel,0.032036781311035156,185.794,185.794,185.13,185.13,174.504,174.504,174.504,174.504,174.504,174.504
FA,teamSizeModel,0.031000137329101562,198.794,186.504,184.13,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998
FA,teamSizeModel,0.0295257568359375,191.794,191.794,183.13,181.924,181.924,181.924,181.924,181.924,181.924,181.924
FA,teamSizeModel,0.028998613357543945,248.71,221.794,210.794,189.504,183.13,183.13,183.13,183.13,180.924,172.26999999999998
FA,teamSizeModel,0.030002355575561523,251.14,189.392,189.392,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998
FA,teamSizeModel,0.02951836585998535,248.71,191.392,176.504,176.504,176.504,176.504,176.504,176.504,176.504,176.504
FA,teamSizeModel,0.03099799156188965,213.71,189.794,178.504,178.504,178.504,178.504,178.504,178.504,178.504,178.504
FA,teamSizeModel,0.03600358963012695,194.794,194.794,188.504,181.13,181.13,181.13,181.13,181.13,181.13,181.13
FA,teamSizeModel,0.031218528747558594,243.71,195.13,175.504,175.504,175.504,175.504,175.504,175.504,175.504,175.504
FA,teamSizeModel,0.03200173377990723,202.794,195.504,183.504,182.26999999999998,181.924,181.924,181.924,181.924,181.924,181.924
FA,teamSizeModel,0.032616376876831055,216.71,201.392,197.26999999999998,181.504,181.504,181.504,181.504,181.504,181.504,181.504
FA,teamSizeModel,0.03157472610473633,179.504,179.504,179.504,175.13,169.13,169.13,169.13,169.13,169.13,169.13
FA,teamSizeModel,0.029999971389770508,223.71,200.13,183.504,175.504,175.504,175.504,175.504,175.504,175.504,175.504
FA,teamSizeModel,0.031009674072265625,258.14,196.504,180.392,180.392,180.392,180.392,180.392,180.392,180.392,180.392
FA,teamSizeModel,0.03142046928405762,216.71,181.13,173.504,173.504,173.504,173.504,173.504,173.504,173.504,173.504
FA,teamSizeModel,0.03103017807006836,239.71,200.13,196.13,181.13,181.13,181.13,181.13,181.13,181.13,181.13
FA,teamSizeModel,0.030006885528564453,250.14,213.794,198.392,190.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998
FA,teamSizeModel,0.031568288803100586,257.794,183.392,183.392,180.26999999999998,180.26999999999998,179.13,179.13,179.13,179.13,179.13
FA,teamSizeModel,0.03199410438537598,237.794,183.504,182.13,182.13,173.26999999999998,173.26999999999998,173.26999999999998,173.26999999999998,173.26999999999998,173.26999999999998
FA,teamSizeModel,0.03101348876953125,260.794,179.504,179.504,179.504,179.504,179.504,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998
FA,teamSizeModel,0.03106689453125,206.71,189.392,189.392,189.392,174.13,174.13,174.13,174.13,174.13,174.13
FA,teamSizeModel,0.033170461654663086,239.71,185.504,185.504,185.504,185.504,185.504,185.504,185.504,185.504,185.504
FA,teamSizeModel,0.033002376556396484,267.14,194.392,183.13,183.13,183.13,183.13,183.13,183.13,183.13,183.13
FA,teamSizeModel,0.030019044876098633,240.71,201.504,177.504,177.504,177.504,177.504,177.504,177.504,177.504,177.504
FA,teamSizeModel,0.034005165100097656,205.392,190.504,190.504,190.504,190.504,190.504,190.504,190.504,190.504,190.504
FA,teamSizeModel,0.031010866165161133,258.14,184.504,184.504,180.13,180.13,180.13,180.13,180.13,180.13,180.13
FA,teamSizeModel,0.03104114532470703,226.794,193.504,180.504,180.504,180.504,180.504,176.924,176.924,176.924,176.924
FA,teamSizeModel,0.03203296661376953,191.794,190.504,176.13,175.26999999999998,175.26999999999998,175.26999999999998,175.26999999999998,175.26999999999998,175.26999999999998,175.26999999999998
FA,teamSizeModel,0.03301048278808594,249.71,201.504,196.504,186.504,181.924,181.924,181.924,181.924,181.924,181.924
FA,teamSizeModel,0.03103947639465332,251.794,204.26999999999998,192.504,192.13,192.13,192.13,192.13,192.13,192.13,192.13
GWOEL,teamSizeModel,0.10860013961791992,237.71,237.71,237.71,237.71,237.71,237.71,237.71,237.71,225.794,225.794
GWOEL,teamSizeModel,0.1295475959777832,220.71,199.794,199.794,199.71,199.71,199.71,199.71,199.71,199.71,199.71
GWOEL,teamSizeModel,0.1141347885131836,219.71,219.71,219.71,219.71,219.71,219.71,219.71,219.71,219.71,219.71
GWOEL,teamSizeModel,0.12352395057678223,263.14,263.14,263.14,263.14,263.14,263.14,263.14,236.71,236.71,236.71
GWOEL,teamSizeModel,0.12317419052124023,197.392,184.392,184.392,184.392,184.392,184.392,184.392,184.392,184.392,184.392
GWOEL,teamSizeModel,0.13216710090637207,204.794,204.794,188.504,188.504,188.504,188.504,185.392,185.392,185.392,185.392
GWOEL,teamSizeModel,0.11953377723693848,239.71,235.71,222.71,222.71,222.71,222.71,222.71,222.71,222.71,222.71
GWOEL,teamSizeModel,0.15387916564941406,243.14,243.14,243.14,239.71,239.71,239.71,227.794,226.794,181.504,179.504
GWOEL,teamSizeModel,0.11859822273254395,198.794,198.794,187.392,183.392,183.392,183.392,183.392,183.392,181.504,181.504
GWOEL,teamSizeModel,0.11864733695983887,238.794,187.504,187.504,187.504,187.504,187.504,187.504,187.504,187.504,187.504
GWOEL,teamSizeModel,0.12461185455322266,250.14,250.14,233.14,233.14,212.794,212.794,212.794,212.794,212.794,212.794
GWOEL,teamSizeModel,0.12158489227294922,246.71,246.71,246.71,246.71,246.71,246.71,246.71,246.71,246.71,246.71
GWOEL,teamSizeModel,0.1250758171081543,202.794,202.794,202.794,202.794,202.794,202.794,202.794,202.794,202.794,202.794
GWOEL,teamSizeModel,0.10516953468322754,180.504,180.504,180.504,180.504,171.504,171.504,171.504,171.504,171.504,171.504
GWOEL,teamSizeModel,0.10463595390319824,233.71,233.71,219.392,219.392,211.794,211.794,188.504,188.504,188.504,188.504
GWOEL,teamSizeModel,0.10337638854980469,213.71,190.392,190.392,183.504,183.504,183.504,183.504,183.504,183.504,183.504
GWOEL,teamSizeModel,0.10461711883544922,221.794,221.794,221.794,221.794,221.794,221.794,221.794,221.794,221.794,221.794
GWOEL,teamSizeModel,0.10652327537536621,189.392,189.392,189.392,189.392,189.392,189.392,189.392,189.392,189.392,189.392
GWOEL,teamSizeModel,0.10760068893432617,201.794,201.794,201.794,201.794,201.794,201.794,201.794,201.794,201.794,201.794
GWOEL,teamSizeModel,0.10170197486877441,234.794,177.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504,170.504
GWOEL,teamSizeModel,0.11906790733337402,243.71,208.794,208.794,202.794,202.794,202.794,202.794,202.794,202.794,202.794
GWOEL,teamSizeModel,0.12384676933288574,251.71,251.71,244.71,244.71,185.392,185.392,185.392,185.392,185.392,185.392
GWOEL,teamSizeModel,0.10462117195129395,200.794,200.794,200.794,200.794,200.794,200.794,200.794,200.794,200.794,196.392
GWOEL,teamSizeModel,0.11662936210632324,228.794,228.794,228.794,228.794,228.794,228.794,228.794,224.794,224.794,224.794
GWOEL,teamSizeModel,0.12433242797851562,234.794,234.794,234.794,234.794,234.794,234.794,234.794,234.794,234.794,234.794
GWOEL,teamSizeModel,0.11812233924865723,234.794,234.794,231.71,231.71,231.71,231.71,225.71,225.71,225.71,225.71
GWOEL,teamSizeModel,0.1196126937866211,236.71,236.71,236.71,236.71,236.71,236.71,236.71,236.71,236.71,236.71
GWOEL,teamSizeModel,0.12751340866088867,261.14,201.794,201.794,201.794,201.794,201.794,201.794,201.794,201.794,201.794
GWOEL,teamSizeModel,0.1225898265838623,251.14,251.14,251.14,251.14,251.14,251.14,251.14,251.14,251.14,251.14
GWOEL,teamSizeModel,0.1135103702545166,224.392,193.71,193.71,193.71,193.71,189.794,189.794,189.794,189.794,189.794
PSO,teamSizeModel,0.04900693893432617,217.392,204.392,204.392,187.392,183.794,177.504,177.504,177.504,175.504,175.504
PSO,teamSizeModel,0.035523414611816406,238.71,217.794,203.392,173.504,172.392,172.392,172.392,172.392,172.392,172.392
PSO,teamSizeModel,0.03502058982849121,216.794,192.392,192.392,191.392,191.392,187.392,183.504,179.504,172.13,170.13
PSO,teamSizeModel,0.02900862693786621,189.392,182.504,182.504,181.13,177.13,173.13,173.13,173.13,173.13,173.13
PSO,teamSizeModel,0.02757716178894043,236.14,223.71,202.392,183.504,183.13,183.13,180.13,178.13,178.13,178.13
PSO,teamSizeModel,0.027009010314941406,248.71,242.71,231.71,207.794,201.392,195.392,184.504,177.504,175.392,171.13
PSO,teamSizeModel,0.02702784538269043,235.71,210.71,192.794,189.794,189.794,189.794,176.392,176.392,171.504,171.504
PSO,teamSizeModel,0.028035402297973633,181.392,173.392,173.392,173.392,173.392,173.392,173.392,173.392,173.392,171.504
PSO,teamSizeModel,0.027561187744140625,231.71,208.794,191.392,179.392,179.392,179.392,179.392,179.392,179.392,179.392
PSO,teamSizeModel,0.02699899673461914,247.71,222.71,222.71,217.71,208.794,180.392,179.392,174.504,171.13,170.13
PSO,teamSizeModel,0.0279695987701416,200.392,178.392,172.13,172.13,165.504,165.504,165.504,165.504,165.504,165.504
PSO,teamSizeModel,0.027616500854492188,230.794,195.392,192.504,192.504,185.13,178.13,174.504,173.504,169.504,168.504
PSO,teamSizeModel,0.028011560440063477,227.71,199.794,186.392,186.392,180.504,180.504,180.504,180.504,180.504,179.392
PSO,teamSizeModel,0.030268192291259766,200.794,195.392,184.504,179.13,178.392,178.392,178.392,178.392,176.504,176.504
PSO,teamSizeModel,0.02819061279296875,242.71,204.794,203.392,199.794,196.392,187.392,180.504,177.13,177.13,172.26999999999998
PSO,teamSizeModel,0.027996063232421875,221.794,195.794,194.392,181.504,165.504,165.504,165.504,165.504,165.504,165.504
PSO,teamSizeModel,0.0339961051940918,244.14,219.71,204.794,204.794,187.392,187.392,187.392,187.392,187.392,187.392
PSO,teamSizeModel,0.02903890609741211,250.71,200.794,196.794,193.392,189.392,176.392,172.392,172.392,172.392,172.392
PSO,teamSizeModel,0.028264760971069336,226.794,197.392,183.794,183.794,176.392,176.392,176.392,176.392,176.392,170.13
PSO,teamSizeModel,0.027976274490356445,246.71,203.392,192.392,181.392,181.392,177.13,173.13,173.13,172.504,172.504
PSO,teamSizeModel,0.028323650360107422,247.71,203.392,200.392,195.504,195.504,186.504,177.504,177.504,174.13,174.13
PSO,teamSizeModel,0.031150102615356445,202.794,197.794,197.794,197.794,182.392,180.794,180.794,180.392,178.504,178.504
PSO,teamSizeModel,0.029996633529663086,240.14,214.71,202.392,190.392,190.392,190.392,190.392,188.504,185.504,184.13
PSO,teamSizeModel,0.029970407485961914,232.71,205.794,188.392,187.504,183.13,178.504,172.13,172.13,172.13,172.13
PSO,teamSizeModel,0.04656553268432617,223.71,201.794,199.794,191.392,184.392,184.392,175.504,173.504,173.504,171.13
PSO,teamSizeModel,0.032721519470214844,238.794,215.71,185.392,185.392,185.392,185.392,175.504,173.13,170.13,170.13
PSO,teamSizeModel,0.02802133560180664,244.14,217.71,217.71,203.392,189.392,180.392,173.392,173.392,173.392,171.392
PSO,teamSizeModel,0.029607295989990234,218.794,204.794,188.794,182.504,171.504,171.504,171.504,171.504,171.504,171.13
PSO,teamSizeModel,0.0269930362701416,228.71,205.794,200.794,200.794,182.794,182.794,176.504,176.504,176.504,176.504
PSO,teamSizeModel,0.028011798858642578,195.794,195.794,195.392,186.392,176.504,176.392,176.392,176.392,172.504,172.504
BA,teamSizeModel,0.031566619873046875,231.392,206.13,193.13,193.13,193.13,193.13,193.13,193.13,193.13,193.13
BA,teamSizeModel,0.030155420303344727,238.71,208.794,196.392,196.392,196.392,196.392,192.504,192.504,192.504,191.13
BA,teamSizeModel,0.02898383140563965,204.504,187.13,187.13,186.26999999999998,186.26999999999998,186.26999999999998,186.26999999999998,186.26999999999998,186.26999999999998,186.26999999999998
