Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10
BA,teamSizeModel,0.028521299362182617,234.794,218.504,216.13,209.13,209.13,197.13,195.26999999999998,195.26999999999998,195.26999999999998,195.26999999999998
BA,teamSizeModel,0.028030872344970703,215.71,196.392,184.392,176.504,176.504,176.504,176.504,176.504,176.13,176.13
BA,teamSizeModel,0.028024911880493164,192.392,174.13,174.13,174.13,174.13,174.13,174.13,174.13,174.13,174.13
BA,teamSizeModel,0.02900862693786621,218.504,204.504,190.13,190.13,190.13,190.13,190.13,190.13,190.13,190.13
BA,teamSizeModel,0.031514883041381836,212.392,201.13,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998
BA,teamSizeModel,0.036002397537231445,222.71,207.392,188.504,188.504,188.504,188.504,188.504,188.504,188.504,188.504
BA,teamSizeModel,0.03806757926940918,192.13,185.13,185.13,185.13,185.13,185.13,185.13,185.13,185.13,185.13
BA,teamSizeModel,0.03299903869628906,196.392,196.392,180.504,180.504,180.504,180.504,180.504,180.504,180.504,180.504
BA,teamSizeModel,0.028853416442871094,177.392,177.392,177.392,177.392,177.392,177.392,177.392,177.392,177.392,177.392
BA,teamSizeModel,0.029052257537841797,199.504,192.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998
BA,teamSizeModel,0.029066085815429688,210.504,206.26999999999998,193.26999999999998,193.26999999999998,193.26999999999998,193.26999999999998,193.26999999999998,193.26999999999998,193.26999999999998,193.26999999999998
BA,teamSizeModel,0.03203749656677246,197.504,184.13,184.13,184.13,184.13,184.13,184.13,184.13,184.13,184.13
BA,teamSizeModel,0.029515504837036133,219.504,219.504,211.13,211.13,211.13,211.13,209.26999999999998,209.26999999999998,209.26999999999998,209.26999999999998
BA,teamSizeModel,0.027515172958374023,238.794,225.504,203.13,203.13,203.13,203.13,203.13,203.13,203.13,203.13
BA,teamSizeModel,0.028996706008911133,186.13,186.13,186.13,186.13,186.13,186.13,186.13,186.13,186.13,186.13
BA,teamSizeModel,0.03654646873474121,197.392,195.13,192.13,192.13,192.13,192.13,192.13,192.13,192.13,192.13
BA,teamSizeModel,0.029529333114624023,204.504,198.504,198.504,193.13,193.13,193.13,189.13,189.13,189.13,189.13
BA,teamSizeModel,0.029517412185668945,208.13,201.13,201.13,201.13,201.13,201.13,201.13,201.13,201.13,201.13
BA,teamSizeModel,0.030028581619262695,190.13,190.13,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998,187.26999999999998
BA,teamSizeModel,0.02666640281677246,215.71,191.504,185.13,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998,177.26999999999998
BA,teamSizeModel,0.028576135635375977,232.392,218.504,218.504,209.13,209.13,209.13,209.13,209.13,209.13,209.13
BA,teamSizeModel,0.030025005340576172,177.504,177.504,169.13,169.13,169.13,169.13,169.13,169.13,169.13,169.13
BA,teamSizeModel,0.028064966201782227,214.392,198.392,198.392,198.392,196.504,196.504,190.13,190.13,190.13,190.13
BA,teamSizeModel,0.028562307357788086,189.392,186.13,181.13,181.13,181.13,181.13,181.13,181.13,181.13,181.13
BA,teamSizeModel,0.029018878936767578,193.392,179.504,179.504,179.504,179.504,179.504,178.13,178.13,178.13,178.13
BA,teamSizeModel,0.0290372371673584,221.71,185.504,185.504,181.13,181.13,181.13,181.13,181.13,181.13,181.13
BA,teamSizeModel,0.02957749366760254,220.794,220.392,201.504,192.26999999999998,192.26999999999998,191.924,191.924,191.09199999999998,191.09199999999998,191.09199999999998
WOA,teamSizeModel,0.028018474578857422,259.71,226.794,189.13,184.13,183.26999999999998,183.26999999999998,180.26999999999998,180.26999999999998,180.26999999999998,180.26999999999998
WOA,teamSizeModel,0.026910066604614258,257.14,208.392,201.504,201.504,197.13,194.26999999999998,185.13,185.13,185.13,185.13
WOA,teamSizeModel,0.026640892028808594,204.794,189.26999999999998,185.504,183.392,178.504,178.504,178.504,178.504,178.504,178.504
WOA,teamSizeModel,0.027008533477783203,215.794,192.13,181.504,181.504,181.504,181.504,181.504,181.504,181.504,178.26999999999998
WOA,teamSizeModel,0.027004718780517578,218.794,193.504,193.504,193.504,190.26999999999998,190.26999999999998,190.26999999999998,176.504,176.504,176.504
WOA,teamSizeModel,0.02805352210998535,255.71,218.794,194.392,194.392,194.392,181.13,179.26999999999998,179.26999999999998,179.26999999999998,179.26999999999998
WOA,teamSizeModel,0.028568267822265625,259.71,259.71,224.794,198.504,187.924,187.924,187.924,187.924,187.924,187.924
WOA,teamSizeModel,0.02798008918762207,224.71,194.392,194.392,187.392,180.504,180.504,178.13,178.13,178.13,166.13
WOA,teamSizeModel,0.02869391441345215,215.392,185.504,183.13,183.13,183.13,183.13,183.13,183.13,183.13,183.13
WOA,teamSizeModel,0.026582956314086914,257.71,199.392,199.392,184.26999999999998,178.504,178.504,178.504,178.504,178.504,178.504
WOA,teamSizeModel,0.028969526290893555,235.71,227.794,194.504,183.26999999999998,183.26999999999998,183.26999999999998,176.13,176.13,165.13,165.13
WOA,teamSizeModel,0.028024673461914062,186.504,184.13,184.13,180.26999999999998,175.26999999999998,175.26999999999998,175.26999999999998,175.26999999999998,173.504,173.504
WOA,teamSizeModel,0.028037309646606445,213.794,183.392,179.13,179.13,178.26999999999998,177.504,177.504,177.504,176.26999999999998,176.26999999999998
WOA,teamSizeModel,0.03852558135986328,201.392,201.392,198.504,186.26999999999998,176.392,176.392,176.392,176.392,176.392,176.392
WOA,teamSizeModel,0.03300189971923828,207.71,207.71,207.71,207.71,186.392,186.392,179.504,179.504,179.504,179.504
WOA,teamSizeModel,0.029568910598754883,219.71,191.392,191.392,180.504,167.13,167.13,167.13,167.13,167.13,167.13
WOA,teamSizeModel,0.028992891311645508,226.794,210.13,207.504,193.26999999999998,186.13,186.13,186.13,186.13,186.13,186.13
WOA,teamSizeModel,0.029027938842773438,223.794,199.26999999999998,199.26999999999998,192.504,185.26999999999998,185.26999999999998,185.26999999999998,185.26999999999998,185.26999999999998,185.26999999999998
WOA,teamSizeModel,0.028028249740600586,219.71,212.392,204.09199999999998,186.13,186.13,186.13,186.13,186.13,186.13,186.13
WOA,teamSizeModel,0.027573108673095703,233.71,187.13,187.13,187.13,187.13,183.26999999999998,183.26999999999998,183.26999999999998,183.26999999999998,183.26999999999998
WOA,teamSizeModel,0.028006792068481445,247.14,208.794,198.794,175.392,175.392,170.13,170.13,170.13,170.13,170.13
WOA,teamSizeModel,0.02898240089416504,245.14,191.13,185.504,184.924,184.924,167.26999999999998,160.504,160.504,160.504,160.504
WOA,teamSizeModel,0.027611494064331055,217.794,206.392,194.13,180.26999999999998,179.13,179.13,179.13,179.13,179.13,179.13
WOA,teamSizeModel,0.02902674674987793,251.14,213.71,192.392,183.13,183.13,183.13,183.13,183.13,183.13,183.13
WOA,teamSizeModel,0.02901148796081543,232.14,201.794,191.924,191.924,174.13,174.13,172.13,166.504,166.504,166.504
WOA,teamSizeModel,0.02905130386352539,203.794,203.794,182.13,182.13,182.13,182.13,182.13,182.13,182.13,182.13
WOA,teamSizeModel,0.028014183044433594,238.71,212.392,210.13,198.09199999999998,188.26999999999998,188.26999999999998,187.924,187.924,187.924,187.924
WOA,teamSizeModel,0.028008222579956055,244.71,212.504,202.794,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998,184.26999999999998
WOA,teamSizeModel,0.02706170082092285,192.794,189.794,189.794,178.392,177.13,175.504,175.504,170.392,170.13,170.13
WOA,teamSizeModel,0.02819538116455078,223.71,192.392,186.794,184.13,179.392,179.392,179.392,179.392,179.392,179.392
CSA,teamSizeModel,0.12207913398742676,223.71,213.794,199.392,199.392,194.13,194.13,192.13,188.26999999999998,188.26999999999998,187.924
CSA,teamSizeModel,0.10263848304748535,253.14,249.71,239.392,230.794,214.392,203.392,203.26999999999998,194.13,190.924,190.924
CSA,teamSizeModel,0.11427664756774902,202.794,188.392,183.504,183.504,175.13,175.13,175.13,175.13,175.13,175.13
CSA,teamSizeModel,0.10962200164794922,194.504,194.504,194.504,190.504,189.13,179.13,179.13,179.13,179.13,179.13
CSA,teamSizeModel,0.10958600044250488,214.794,201.794,199.392,196.504,192.504,181.13,181.13,181.13,181.13,181.13
CSA,teamSizeModel,0.11822152137756348,194.794,178.392,177.504,177.504,177.504,177.504,177.504,177.504,177.504,177.504
CSA,teamSizeModel,0.11999773979187012,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13,168.13
CSA,teamSizeModel,0.1036379337310791,229.71,223.794,217.794,212.794,211.504,202.13,195.13,190.26999999999998,190.13,189.26999999999998
CSA,teamSizeModel,0.11862635612487793,182.504,182.504,178.26999999999998,178.26999999999998,178.26999999999998,178.26999999999998,178.26999999999998,178.26999999999998,178.26999999999998,178.26999999999998
CSA,teamSizeModel,0.10951375961303711,193.794,185.392,185.392,185.392,185.392,185.392,185.392,185.392,185.392,185.392
CSA,teamSizeModel,0.11455368995666504,214.794,196.794,190.392,190.392,180.13,180.13,180.13,180.13,180.13,180.13
CSA,teamSizeModel,0.09866023063659668,199.794,199.794,199.794,199.794,199.794,199.794,199.794,195.504,195.504,190.13
CSA,teamSizeModel,0.10566878318786621,202.392,202.392,202.392,197.392,194.504,189.504,181.13,181.13,181.13,181.13
CSA,teamSizeModel,0.11061716079711914,218.71,207.794,197.392,193.13,191.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998
CSA,teamSizeModel,0.10986042022705078,204.794,204.794,195.392,188.392,187.504,183.13,182.26999999999998,182.26999999999998,182.26999999999998,182.26999999999998
CSA,teamSizeModel,0.11259579658508301,218.794,204.392,194.504,189.13,181.504,181.504,181.504,181.504,181.504,181.504
CSA,teamSizeModel,0.11864042282104492,188.392,181.392,181.392,181.392,180.26999999999998,180.26999999999998,180.26999999999998,180.26999999999998,180.26999999999998,180.26999999999998
CSA,teamSizeModel,0.11003684997558594,215.794,205.392,189.392,181.504,181.504,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998
CSA,teamSizeModel,0.1195213794708252,200.794,198.504,192.13,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998
CSA,teamSizeModel,0.1070549488067627,218.71,212.794,203.794,197.392,188.504,186.13,186.13,185.26999999999998,184.13,183.26999999999998
CSA,teamSizeModel,0.1025688648223877,224.392,224.392,224.392,221.794,212.504,197.504,187.504,187.504,186.13,186.13
CSA,teamSizeModel,0.11143994331359863,222.794,201.794,196.392,194.504,191.13,178.13,178.13,178.13,178.13,178.13
CSA,teamSizeModel,0.11161231994628906,203.794,191.392,190.504,190.13,190.13,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998,181.26999999999998
CSA,teamSizeModel,0.10260653495788574,213.71,207.794,198.794,198.392,189.504,189.504,189.504,189.504,184.26999999999998,184.26999999999998
CSA,teamSizeModel,0.11059379577636719,194.794,194.794,194.794,194.794,194.794,194.504,194.504,186.13,184.13,184.13
CSA,teamSizeModel,0.10860824584960938,205.392,205.392,202.504,197.504,190.13,184.504,180.13,180.13,180.13,180.13
CSA,teamSizeModel,0.1049501895904541,198.392,191.504,191.504,191.504,191.504,191.504,190.504,190.504,189.26999999999998,189.26999999999998
CSA,teamSizeModel,0.11118412017822266,217.71,209.794,204.392,202.504,193.504,191.392,183.504,183.504,183.504,183.504
CSA,teamSizeModel,0.10816478729248047,205.392,205.392,203.504,197.392,197.392,191.504,186.13,186.13,186.13,184.13
CSA,teamSizeModel,0.10761094093322754,214.794,210.392,199.392,195.504,195.504,189.504,188.504,186.13,186.13,185.26999999999998
DE,teamSizeModel,0.02593684196472168,185.504,185.504,185.504,178.504,178.504,178.504,178.504,178.504,178.504,177.13
DE,teamSizeModel,0.027008533477783203,195.504,179.504,178.13,178.13,178.13,173.504,168.504,168.504,168.504,168.504
DE,teamSizeModel,0.02698540687561035,210.794,197.794,197.794,194.392,194.392,181.392,181.392,181.392,181.392,181.392
DE,teamSizeModel,0.028002023696899414,230.794,225.392,184.794,184.794,184.794,184.794,184.794,179.13,177.13,177.13
DE,teamSizeModel,0.02753138542175293,202.794,178.504,178.504,177.392,172.392,172.392,167.504,167.504,167.504,167.504
DE,teamSizeModel,0.02699875831604004,207.392,205.392,204.794,202.392,188.392,182.392,182.392,182.392,173.504,173.504
DE,teamSizeModel,0.026999235153198242,210.504,177.504,177.504,177.504,177.504,177.504,169.13,169.13,169.13,169.13
DE,teamSizeModel,0.026561975479125977,206.794,206.794,189.794,187.392,179.504,178.504,167.504,167.504,167.504,167.504
DE,teamSizeModel,0.028004884719848633,179.504,174.504,174.504,167.504,167.504,166.504,166.504,166.504,166.504,164.13
DE,teamSizeModel,0.02801346778869629,205.794,196.794,194.392,192.392,179.392,179.392,179.392,178.392,178.392,178.392
DE,teamSizeModel,0.027027130126953125,232.794,209.794,190.392,190.392,190.392,185.392,179.13,174.392,172.504,168.504
DE,teamSizeModel,0.026598691940307617,211.392,184.504,184.504,183.504,173.392,173.392,173.392,173.392,173.392,173.392
DE,teamSizeModel,0.027975797653198242,205.392,181.13,175.13,175.13,174.504,174.504,171.504,171.504,171.504,171.504
DE,teamSizeModel,0.027262210845947266,187.794,187.794,187.794,187.794,187.392,178.13,178.13,178.13,173.13,173.13
DE,teamSizeModel,0.025534391403198242,229.14,229.14,217.794,195.392,192.392,182.392,182.392,181.504,181.392,178.504
DE,teamSizeModel,0.026975393295288086,194.504,194.504,186.392,186.392,177.504,177.504,176.392,176.392,174.392,168.13
DE,teamSizeModel,0.02802586555480957,207.794,177.13,176.392,176.392,176.392,176.392,176.392,173.504,173.504,173.504
DE,teamSizeModel,0.02703690528869629,255.71,232.392,200.504,194.504,188.392,187.392,181.504,174.504,174.504,174.504
DE,teamSizeModel,0.02760028839111328,194.392,188.392,188.392,188.392,183.13,181.504,177.13,172.26999999999998,172.26999999999998,172.26999999999998
DE,teamSizeModel,0.028993844985961914,196.794,196.794,188.392,188.392,187.504,178.392,178.392,178.392,177.13,172.504
DE,teamSizeModel,0.025985002517700195,228.794,228.794,221.794,220.794,201.392,190.794,190.794,190.794,190.794,182.392
DE,teamSizeModel,0.02655196189880371,216.71,212.794,206.392,200.392,200.392,193.13,181.504,181.504,179.13,178.504
DE,teamSizeModel,0.025973081588745117,217.794,217.794,217.794,206.794,197.504,179.504,178.13,178.13,174.504,169.13
DE,teamSizeModel,0.02698349952697754,200.392,200.392,192.392,182.26999999999998,182.26999999999998,170.504,170.504,170.504,170.504,170.504
DE,teamSizeModel,0.026015043258666992,217.794,217.794,217.794,217.794,188.504,188.13,173.504,173.504,173.504,173.13
DE,teamSizeModel,0.026549577713012695,230.794,207.71,207.71,201.794,187.794,173.392,173.392,173.392,173.392,170.504
DE,teamSizeModel,0.028248310089111328,223.794,216.392,206.504,187.504,181.392,181.392,181.392,173.13,169.13,169.13
DE,teamSizeModel,0.027006149291992188,255.14,195.392,170.504,170.504,170.504,170.504,170.504,170.504,167.504,167.504
DE,teamSizeModel,0.026570558547973633,227.71,210.504,175.504,175.504,171.504,171.504,171.504,171.504,171.504,171.504
DE,teamSizeModel,0.02699756622314453,224.794,192.392,192.392,180.504,170.504,170.504,170.13,170.13,170.13,170.13
